name,id,sensor_index,lat,lon
B cueva,158870,50565,25.629936,-100.36629
Bosque Miyawaki UDEM,158849,38537,25.65955,-100.42211
Casa Macro,158871,37643,25.658073,-100.35843
CECVAC,158884,35011,25.639122,-100.34141
Colorines,158883,118909,25.631332,-100.34302
Estación de Monitoreo de Calidad del Aire Comité Municipal PAN San Pedro Garza Garcia,158854,143372,25.661722,-100.40175
Grupo Reforma Sierra Madre,158863,121825,25.663378,-100.36808
Himalaya International School,158852,34569,25.651388,-100.41089
Huascaran,158857,45769,25.637255,-100.399216
Irish Monterrey,158885,34969,25.6471,-100.33811
Lazaro Garza Ayala y Genaro Gza Gcia,158855,39697,25.659618,-100.398056
Liceo de Monterrey,158887,33117,25.650322,-100.32849
LS,158859,140440,25.659594,-100.38791
Ludovise-Fuentes Del Valle,158864,39725,25.665503,-100.36378
Ma de los Angeles &amp; Adolfo Lopez Mateos,158868,39733,25.643152,-100.36523
Nevado de Colima,158866,37657,25.64832,-100.363884
Olinala Granado,158869,140432,25.618973,-100.37201
Palo Blanco,158856,173083,25.656317,-100.39748
Parque Rufino Tamayo,158888,37255,25.644768,-100.326485
PM,158853,39731,25.665295,-100.402504
Privada Savotino,158872,37253,25.660307,-100.3551
Rio Tamuín,158881,37661,25.658031,-100.34529
Rosario,158860,34511,25.640432,-100.392265
San Patricio #106,158882,34499,25.641743,-100.3472
San Roberto International School Campus San Agustin,158886,36709,25.645615,-100.3372
Santa Barbara,158858,147010,25.661701,-100.38932
Servicios Publicos,158851,37747,25.665537,-100.410095
Torre Los Nogales,158861,49563,25.660519,-100.38366
Treviño,158867,50555,25.638243,-100.36743
UDEM_Campus_Solar,158850,34641,25.662136,-100.4208
Versalles,158865,37861,25.630987,-100.37217
Monterrey,160198,39355,25.664892,-100.413
